courseTitle|courseCode|subterm|creditHours|instructor|courseDays|timeSlot|buildingCode|room|comments
Yoga|DNCE 5582 U    1|Spring|0|Patti Bradshaw|R|11:05 AM - 12:45 PM|PAC|BESSI|Component
Performance Project|DNCE 5590 U    1|Fall|0|Eleanor Smith|M W|3:35 PM - 5:30 PM|PAC|BESSI|Component
Performance Project|DNCE 5590 U    1|Fall|0|Molly Lieber| |-| | | 
Performance Project|DNCE 5592 U    1|Spring|0|Jordan Lloyd|M W|3:35 PM - 5:30 PM|PAC|BESSI|Component
Writing On, With, and Through Dance|DNCE 5608 U    1|Fall|0|EmmaGrace Skove-Epes|T|9:00 AM - 10:45 AM|PAC|1|Component
Rotating Guest Artist Lab|DNCE 5625 U    1|Year|0|. Dance Faculty| |-| | | 
Rotating Guest Artist Lab|DNCE 5625 U    1|Year|0|John Jasperse|W|11:05 AM - 12:45 PM|PAC|BESSI| 
Choreographic Lab|DNCE 5640 U    1|Spring|0|John Jasperse|M|11:05 AM - 12:45 PM|PAC|BESSI|Component
FYS: The 2024 Presidential Election Inequalty,Climate Crisis,Far Right|ECON 1020 F    1|Year|10|Jamee Moudud|M W|9:00 AM - 10:25 AM|WEST|104|First Year Studies
FYS: Political Economy of&nbsp;Environmt and Climate Justice|ECON 1029 F    1|Year|10|An Li|M  R|11:05 AM - 12:30 PM|SHEFF|01|First Year Studies
Legal and Political Foundations of Money, Finance, and the Economy|ECON 2067 L    1|Year|10|Jamee Moudud|T|11:05 AM - 12:00 PM|BATES|206|Group conference
Legal and Political Foundations of Money, Finance, and the Economy|ECON 2067 L    1|Year|10|Jamee Moudud|W|11:05 AM - 12:00 PM|PAC|1|Group conference
Legal and Political Foundations of Money, Finance, and the Economy|ECON 2067 L    1|Year|10|Jamee Moudud|M  R|11:05 AM - 12:30 PM|LIBR|PILLW|Open
US Workers’ Movement: From Colonial Slavery to Economic Globalization|ECON 3041 R    1|Year|10|Noah Shuster|T  F|11:05 AM - 12:30 PM|PAC|1|Open
Political Economy of Women|ECON 3048 R    1|Year|10|Kimberly Christensen|T R|3:35 PM - 5:00 PM|ONLIN| |Open
Research Methods in Economics|ECON 3508 R    1|Fall|5|An Li|T R|3:35 PM - 5:00 PM|SC|101|Intermediate
Political Economy of Environment, Natural Resources,Economic Develop|ECON 3803 R    1|Spring|5|An Li|T R|3:35 PM - 5:00 PM|SC|101|Intermediate
Workshop: Sustainability Solutions at Sarah Lawrence College|ENVI 2205 L    1|Year|2|Eric Leveau|W|12:30 PM - 1:30 PM|BATES|203|Open
Indigenous Ecologies/Environmental Justice|ENVI 3116 R    1|Spring|5|Deanna Barenboim|T  F|11:05 AM - 12:30 PM|TITS|LR|Open
Migration and Climate Crisis|ENVI 3606 R    1|Fall|5|Deanna Barenboim|W|11:05 AM - 1:00 PM|TITS|LR|Intermediate
Global Warming|ENVS 2070 L    1|Fall|5|Bernice Rosenzweig|M|7:00 PM - 9:00 PM|SC|103|Open
Global Warming|ENVS 2070 L    1|Fall|5|Bernice Rosenzweig|T|7:00 PM - 8:25 PM|SC|104|Group conference, meets weekly
Global Warming|ENVS 2070 L    1|Fall|5|Bernice Rosenzweig|W|7:00 PM - 8:25 PM|SC|104|Group conference, meets weekly
Global Warming|ENVS 2070 L    1|Fall|5|Bernice Rosenzweig|R|11:05 AM - 12:30 PM|SC|104|Group conference, meets weekly
Climate Resilient Futures|ENVS 2075 L    1|Spring|5|Bernice Rosenzweig|W|3:35 PM - 5:00 PM|SC|103|Open
Climate Resilient Futures|ENVS 2075 L    1|Spring|5|Bernice Rosenzweig|R|11:05 AM - 12:30 PM|SC|104|Group conference, meets weekly
Climate Resilient Futures|ENVS 2075 L    1|Spring|5|Bernice Rosenzweig|R|3:35 PM - 5:00 PM|HEIM|210|Group conference, meets weekly
Geospatial Data Analysis|ENVS 3121 R    1|Fall|5|Bernice Rosenzweig|M W|3:35 PM - 5:00 PM|SC|104|Open
Environmental Data|ENVS 3163 R    1|Spring|5|Bernice Rosenzweig|M  R|7:00 PM - 8:30 PM|SC|104|Open
FYS: Documentary Filmmaking: The Personal is Political|FILM 1023 F    1|Year|10|Damani Baker|M|10:00 AM - 1:00 PM|HEIM|211|First Year Studies
FYS: Cinematography-An Introduction to Visualizing/ Producing a Film|FILM 1028 F    1|Year|10|Misael Sanchez|M W|9:30 AM - 10:55 AM|HEIM|210|First Year Studies
Not For Children|FILM 2023 L    1|Spring|5|Robin Starbuck|W|11:05 AM - 12:00 PM|HEIM|211|Group confernce
Not For Children|FILM 2023 L    1|Spring|5|Robin Starbuck|W|10:00 AM - 10:55 AM|HEIM|211|Group confernce
Not For Children|FILM 2023 L    1|Spring|5|Robin Starbuck|T|9:30 AM - 12:30 PM|HEIM|135|Open
Not For Children|FILM 2023 L    1|Spring|5|Robin Starbuck|W|2:00 PM - 2:55 PM|HEIM|211|Group confernce
Producing and Pitching:Creative Producer In The Real World|FILM 2030 L    1|Spring|3|Heather Winters|M|11:05 AM - 2:00 PM|HEIM|202|Open
Queer Feminist Praxis: Community Engagement and Digital Humanities|FILM 3073 R    1|Spring|5|Yeong Ran Kim|T|3:35 PM - 5:30 PM|HEIM|210|Open
Queer/Trans/Digital|FILM 3079 R    1|Fall|3|Yeong Ran Kim|T|11:30 AM - 1:30 PM|HEIM|111|Sophomores and above
Filmmaking Basics: Where to Start|FILM 3101 R    1|Spring|5|Rona Mark|T|11:05 AM - 1:00 PM|HEIM|111|Open
Filmmaking Basics: Where to Start|FILM 3101 R    1|Spring|5|Rona Mark|R|11:05 AM - 1:30 PM|HEIM|111| 
Recording and Editing Sound for Film and Media|FILM 3108 R    1|Fall|2|Rosalie Kaplan|F|12:00 PM - 2:00 PM|HEIM|210|Open
From Ideas to Postproduction|FILM 3117 R    1|Year|10|Jazmin Lopez|R|2:00 PM - 5:00 PM|HEIM|111|Open
Editing for Film &amp; TV|FILM 3204 R    1|Spring|3|Brian Emery|M|4:00 PM - 6:30 PM|HEIM|135|Open
Filming with Actors; a Workshop for Directors and Actors|FILM 3224 R    1|Fall|2|Keith Manning|R|11:05 AM - 1:00 PM|HEIM|130|Intermediate
Short Film Composition|FILM 3238 R    1|Fall|5|Jazmin Lopez|W|5:00 PM - 8:00 PM|HEIM|135| 
Short Film Composition|FILM 3238 R    1|Fall|5|Jazmin Lopez|W|5:00 PM - 8:00 PM|HEIM|210|Open
Digital 3D Animation: Character and Environment Building|FILM 3249 R    1|Year|10|Kyle Hittmeier|M|1:00 PM - 3:55 PM|HEIM|136|Open
TV Writing:Writing the Spec Script:|FILM 3312 R    1|Fall|5|Marygrace O'Shea|R|11:05 AM - 2:00 PM|HEIM|111|Sophomores and above
Writing the Short Screenplay|FILM 3323 R    1|Fall|5|Margaret Greenwald|R|11:05 AM - 2:00 PM|HEIM|211|Open
Writing the Feature Screenplay|FILM 3333 R    1|Year|10|Rona Mark|W|11:05 AM - 2:00 PM|HEIM|111|Open
Your Cinema Vocabulary|FILM 3336 R    1|Spring|5|Jazmin Lopez|W|5:10 PM - 8:05 PM|HEIM|210|Open
Screenwriting: Tools of the Trade|FILM 3421 R    1|Spring|5|Keith Manning|T|3:35 PM - 6:30 PM|HEIM|211|Open
2D Character Animation|FILM 3427 R    1|Year|10|Scott Duce|W F|9:00 AM - 10:55 AM|HEIM|129|oPEN
Storyboarding for Film and Animation|FILM 3428 R    1|Fall|5|Scott Duce|R|9:30 AM - 12:30 PM|HEIM|129|Open
The Director Prepares|FILM 3446 R    1|Spring|5|Margaret Greenwald|R|11:05 AM - 2:00 PM|HEIM|208|Open
Working with Light and Shadow|FILM 3461 R    1|Fall|5|Misael Sanchez|W|1:00 PM - 5:00 PM|HEIM|130|Open
Cinematography, Color, Composition and Style|FILM 3463 R    1|Spring|5|Misael Sanchez|W|1:00 PM - 5:00 PM|HEIM|130|Open
Producing for Film and TV|FILM 3470 R    1|Fall|5|Elizabeth Levison|M|11:05 AM - 2:00 PM|HEIM|111|Open
Experiments in Hybrid Animation: Materials and Methods|FILM 3505 R    1|Year|10|Robin Starbuck|TW|3:35 PM - 5:30 PM|HEIM|135|Open
Experiments in Hybrid Animation: Materials and Methods|FILM 3505 R    1|Year|10|Robin Starbuck|W|10:00 AM - 11:00 AM|HEIM|211|Group conference
Concept Art: Visual Development|FILM 3513 R    1|Spring|5|Scott Duce|R|9:30 AM - 12:30 PM|HEIM|129|Open
Advanced Writing for TV: Writing the Original Script|FILM 4186 R    1|Spring|5|Marygrace O'Shea|R|11:05 AM - 2:00 PM|HEIM|211|Advanced
Advanced Writing for the Screen|FILM 4190 R    1|Fall|5|Rona Mark|F|11:05 AM - 2:00 PM|HEIM|111|Intermediate/Advanced
Adv. Independent Studio, Animation|FILM 4191 A    1|Year|10|Scott Duce| |-|HEIM|129|Advaced; permission req.
Adv. Independent Studio, Animation|FILM 4191 A    1|Year|10|Robin Starbuck| |-| | | 
FYS:Hollywood from the Margins|FLMH 1020 F    1|Year|10|Leana Hirschfeld-Kroen|F|1:30 PM - 3:25 PM|HEIM|211|Group collaborative, alt Fri
FYS:Hollywood from the Margins|FLMH 1020 F    1|Year|10|Leana Hirschfeld-Kroen|M  R|7:00 PM - 10:00 PM|HEIM|135|Film screening
FYS:Hollywood from the Margins|FLMH 1020 F    1|Year|10|Leana Hirschfeld-Kroen|T  F|11:05 AM - 12:30 PM|HEIM|211|First Year Studies
The History and Aesthetics of Film|FLMH 2014 L    1|Year|10|Michael Cramer|M W|7:00 PM - 10:00 PM|HEIM|202|Film screening
The History and Aesthetics of Film|FLMH 2014 L    1|Year|10|Michael Cramer|W|5:35 PM - 6:30 PM|HEIM|211|Group conference
The History and Aesthetics of Film|FLMH 2014 L    1|Year|10|Michael Cramer|M|5:35 PM - 6:30 PM|HEIM|211|Group conference
The History and Aesthetics of Film|FLMH 2014 L    1|Year|10|Michael Cramer|T R|3:35 PM - 5:00 PM|HEIM|202|Open
Not For Children|FLMH 2022 L    1|Spring|5|Robin Starbuck|W|2:00 PM - 2:55 PM|HEIM|211|Group conference
Not For Children|FLMH 2022 L    1|Spring|5|Robin Starbuck|T|9:30 AM - 12:30 PM|HEIM|135|Open
Not For Children|FLMH 2022 L    1|Spring|5|Robin Starbuck|W|10:00 AM - 10:55 AM|HEIM|211|Group conference
Not For Children|FLMH 2022 L    1|Spring|5|Robin Starbuck|W|11:05 AM - 12:00 PM|HEIM|211|Group conference
The Movie Musical|FLMH 2029 L    1|Spring|5|Leana Hirschfeld-Kroen|M W|7:00 PM - 10:00 PM|TITS|LH|Film screening
The Movie Musical|FLMH 2029 L    1|Spring|5|Leana Hirschfeld-Kroen|R|3:35 PM - 5:00 PM|SLON|2|Group conference, meets weekly
The Movie Musical|FLMH 2029 L    1|Spring|5|Leana Hirschfeld-Kroen|R|2:05 PM - 3:25 PM|SLON|2|Group conference, meets weekly
The Movie Musical|FLMH 2029 L    1|Spring|5|Leana Hirschfeld-Kroen|R|11:05 AM - 12:30 PM|SLON|2|Group conference, meets weekly
The Movie Musical|FLMH 2029 L    1|Spring|5|Leana Hirschfeld-Kroen|T|3:35 PM - 5:30 PM|TITS|LH|Open
Cultural History of Music Videos|FLMH 2060 L    1|Fall|5|Brandon Arroyo|T R|9:00 AM - 10:55 AM|HEIM|202|Open
Cultural History of Music Videos|FLMH 2060 L    1|Fall|5|Brandon Arroyo|T|11:05 AM - 12:00 PM|PAC|2|Group conference
Cultural History of Music Videos|FLMH 2060 L    1|Fall|5|Brandon Arroyo|R|11:05 AM - 12:00 PM|PAC|2|Group conference
Queer and Feminist Cinemas of the Arab Middle East N. Africa|FLMH 3137 R    1|Fall|5|Jeremy Randall|M W|9:30 AM - 10:55 AM|MORL|CL|Open
Global Horror Cinema|FLMH 3207 R    1|Spring|5|Michael Cramer|T R|7:00 PM - 10:00 PM|HEIM|135|Film screening
Global Horror Cinema|FLMH 3207 R    1|Spring|5|Michael Cramer|M  R|2:00 PM - 3:25 PM|HEIM|208|Open
Feminist Film History|FLMH 3220 R    1|Fall|5|Leana Hirschfeld-Kroen|W|3:35 PM - 6:30 PM|HEIM|111|Open
Feminist Film History|FLMH 3220 R    1|Fall|5|Leana Hirschfeld-Kroen|T|7:00 PM - 10:00 PM|HEIM|202|Film screening
Beginning French|FREN 3001 R    1|Year|10|Ellen Di Giovanni|F|12:45 PM - 1:45 PM|SWIN|102|Group conference
Beginning French|FREN 3001 R    1|Year|10|Ellen Di Giovanni|T R|3:35 PM - 5:00 PM|BATES|206|Open
Intermediate French I French Identities|FREN 3501 R    1|Year|10|Eric Leveau|W F|1:30 PM - 3:25 PM|MORL|CL|Intermediate
Intermed French I:  Scène(s) de littérature|FREN 3502 R    1|Year|10|Ellen Di Giovanni|T R|9:30 AM - 10:55 AM|LIBR|E2|Intermediate
Intermediate French II: Colonialism &amp; Legacy:France &amp; Sub-Sahara Afric|FREN 3750 R    1|Year|10|Kameron Ackerman|W F|2:00 PM - 3:25 PM|LIBR|E2|Intermediate
Adv French:Writing the Modern Self: Autobiography,Autoportrait,Autofic|FREN 4034 R    1|Fall|5|Jason Earle|T R|3:35 PM - 5:00 PM|DL|LR|Intermediate/Advanced
Physiology and Disease|GENE 4050 R    1|Fall|3|Frederick Nagel| |-|ONLIN| |Open to Juniors and Seniors
Food, Agriculture, Environment and Development|GEOG 2015 L    1|Spring|5|Joshua Muldavin|W|1:05 PM - 2:00 PM|SHEFF|01|Group conference
Food, Agriculture, Environment and Development|GEOG 2015 L    1|Spring|5|Joshua Muldavin|W|11:05 AM - 12:00 PM|SHEFF|01|Group conference
Food, Agriculture, Environment and Development|GEOG 2015 L    1|Spring|5|Joshua Muldavin|W|12:05 PM - 1:00 PM|SHEFF|01|Group conference
Food, Agriculture, Environment and Development|GEOG 2015 L    1|Spring|5|Joshua Muldavin|T R|3:35 PM - 5:00 PM|SC|103|Open
The Rise of the New Right in U.S.|GEOG 3124 R    1|Spring|5|Joshua Muldavin|W|3:35 PM - 6:00 PM|SHEFF|01|Sophomores and above
The Geography of Contemporary China: A Political Ecology|GEOG 3572 R    1|Fall|5|Joshua Muldavin|W|3:35 PM - 6:00 PM|SHEFF|01|Open
Beginning German|GERM 3001 R    1|Year|10|Matthew Cooper|M WR|2:00 PM - 3:25 PM|BATES|015|Open
Intermediate German|GERM 3510 R    1|Year|10|Roland Dollinger|M W|3:35 PM - 5:00 PM|BATES|015|Intermediate
Beginning Greek|GREE 3001 A    1|Year|10|Emily Fairey|W|12:35 PM - 1:30 PM|DL|04| 
Beginning Greek|GREE 3001 A    1|Year|10|Emily Fairey|M  R|2:00 PM - 3:25 PM|DL|04|Open
First-Year Studies: Romantic Europe|HIST 1034 F    1|Year|10|Philip Swoboda|T  F|11:05 AM - 12:30 PM|BATES|015|First Year Studies
FYS: Gender, Culture and Politics in U.S. History, 1776-1980|HIST 1036 F    1|Year|10|Lyde Sizer|T R|9:30 AM - 10:55 AM|WEST|104|First Year Studies
First Year Studies: "Inventing America": Cultural Encounters|HIST 1044 F    1|Year|10|Eileen Cheng|M  R|11:05 AM - 12:30 PM|BATES|206|First Year Studies
FYS: The Urban Century: How Cities Shaped and were Shaped by History|HIST 1045 F    1|Year|10|Philipp Nielsen|T R|9:30 AM - 10:55 AM|HEIM|111|First Year Studies
FYS: The Urban Century: How Cities Shaped and were Shaped by History|HIST 1045 F    1|Year|10|Philipp Nielsen|W|11:05 AM - 12:45 PM|HEIM|210|Group collaborative
FYS:  In the Tradition:Introduction to African-American History|HIST 1046 F    1|Year|10|Komozi Woodard|M  R|11:05 AM - 12:30 PM|WEST|104|First Year Studies
FYS: Ideas of Africa: Africa Writes Back|HIST 1054 F    1|Year|10|Mary Dillard|T R|9:30 AM - 10:55 AM|DL|LR|First Year Studies
Who Owns History? Urban &amp; Ethnic History in America|HIST 2025 L    1|Year|10|Komozi Woodard|T|10:00 AM - 10:55 AM|ANDH|104|Group conference, meets weekly
Who Owns History? Urban &amp; Ethnic History in America|HIST 2025 L    1|Year|10|Komozi Woodard|M|3:35 PM - 5:30 PM|TITS|LH|Open
Who Owns History? Urban &amp; Ethnic History in America|HIST 2025 L    1|Year|10|Komozi Woodard|W|10:00 AM - 10:55 AM|BATES|206|Group conference, meets weekly
Who Owns History? Urban &amp; Ethnic History in America|HIST 2025 L    1|Year|10|Komozi Woodard|R|2:00 PM - 2:55 PM|SHEFF|01|Group conference, meets weekly
International Law|HIST 2035 L    1|Fall|5|Mark Shulman|M  R|2:00 PM - 3:25 PM|TITS|LH|Open
International Law|HIST 2035 L    1|Fall|5|Mark Shulman|M|3:35 PM - 4:30 PM|DL|04|Group conference
International Law|HIST 2035 L    1|Fall|5|Mark Shulman|R|3:35 PM - 4:30 PM|DL|04|Group conference
Human Rights|HIST 2036 L    1|Spring|5|Mark Shulman|R|3:35 PM - 4:30 PM|DL|04|Group conference
Human Rights|HIST 2036 L    1|Spring|5|Mark Shulman|M|3:35 PM - 4:30 PM|DL|04|Group conference
Human Rights|HIST 2036 L    1|Spring|5|Mark Shulman|M  R|2:00 PM - 3:25 PM|TITS|LH|Open
The Jewish Century: European Jewish History: Emancipation to Destructn|HIST 2041 L    1|Fall|5|Philipp Nielsen|R|3:35 PM - 5:00 PM|SLON|2|Group conference, meets weekly
The Jewish Century: European Jewish History: Emancipation to Destructn|HIST 2041 L    1|Fall|5|Philipp Nielsen|R|2:00 PM - 3:25 PM|SLON|2|Group conference, meets weekly
The Jewish Century: European Jewish History: Emancipation to Destructn|HIST 2041 L    1|Fall|5|Philipp Nielsen|T|3:35 PM - 5:00 PM|LIBR|PILLW|Open
Screening the City|HIST 2046 L    1|Spring|5|Ryan Purcell|R|2:00 PM - 2:55 PM|HEIM|210|Group conference, meets weekly
Screening the City|HIST 2046 L    1|Spring|5|Ryan Purcell|T|3:35 PM - 4:30 PM|SLON|SR|Group conference, meets weekly
Screening the City|HIST 2046 L    1|Spring|5|Ryan Purcell|R|3:35 PM - 5:30 PM|HEIM|208|Open
Making Latin America|HIST 2078 L    1|Fall|5|Maria Fajardo-Hernandez|R|11:05 AM - 12:00 PM|SLON|2|Group conference, meets weekly
Making Latin America|HIST 2078 L    1|Fall|5|Maria Fajardo-Hernandez|R|10:00 AM - 10:55 AM|SLON|2|Group conference, meets weekly
Making Latin America|HIST 2078 L    1|Fall|5|Maria Fajardo-Hernandez|M|9:00 AM - 10:55 AM|HEIM|135|Open
Racial Soundscapes|HIST 2095 L    1|Fall|5|Ryan Purcell|R|2:00 PM - 2:55 PM|HEIM|211|Group conference, meets weekly
Racial Soundscapes|HIST 2095 L    1|Fall|5|Ryan Purcell|T|3:35 PM - 4:30 PM|HEIM|211|Group conference, meets weekly
Racial Soundscapes|HIST 2095 L    1|Fall|5|Ryan Purcell|R|3:35 PM - 5:30 PM|HEIM|208|l
The American Revolution|HIST 3014 R    1|Fall|5|Eileen Cheng|W|11:00 AM - 1:00 PM|SHEFF|02|Open
"Fighting over the Founders": Legacy of  American Revoltution|HIST 3022 R    1|Spring|5|Eileen Cheng|W|11:00 AM - 1:00 PM|SHEFF|02|Open
Imperialism and Servitude: Slave Rebellions in Greek/Roman History|HIST 3103 R    1|Spring|5|Emily Fairey|M W|3:35 PM - 5:00 PM|TITS|LR|Open
The Disreputable Sixteenth Century|HIST 3164 R    1|Year|10|Philip Swoboda|M  R|2:00 PM - 3:25 PM|ANDH|101|Open
Gender and History in China: Beyond Eunuchs and Concubines|HIST 3166 R    1|Year|10|Kevin Landdeck|W|3:35 PM - 6:00 PM|TWEED|LR|Sophomores and above
Urban Humanities|HIST 3217 A    1|Spring|5|Ryan Purcell|F|9:00 AM - 10:55 AM|TWEED|LR|Sophomores and above
History of White Supremacy|HIST 3277 A    1|Fall|5|Ryan Purcell|F|9:00 AM - 10:55 AM|TWEED|LR|Sophomores and above
Documenting Asian/America|HIST 3330 R    1|Fall|5|Karintha Lowe|T R|3:35 PM - 5:00 PM|HEIM|210|Open
Wealth and Poverty: A History of Capitalism (and its Critics)|HIST 3340 R    1|Fall|5|Maria Fajardo-Hernandez|M|1:00 PM - 3:25 PM|HEIM|211|Sophomores and above
Nationalism|HIST 3415 R    1|Spring|5|Matthew Ellis|W|3:35 PM - 6:00 PM|BATES|04|Sophomores and above
The Middle East &amp; the Politics of Collective Memory|HIST 3423 R    1|Fall|5|Matthew Ellis|W|3:35 PM - 6:00 PM|DL|LR|Sophomores and above
Decolonization and the End of Empire|HIST 3424 R    1|Fall|5|Matthew Ellis|T  F|11:05 AM - 12:30 PM|BATES|04|Open
Women and Gender in the Middle East|HIST 3461 R    1|Spring|5|Matthew Ellis|T  F|11:05 AM - 12:30 PM|WEST|104|Open
The Power of Place: Museums, Monuments &amp; Public History Yonkers|HIST 3721 R    1|Spring|5|Mary Dillard|W|2:00 PM - 5:00 PM|HEIM|210|Open
Public Humanities in Practice: The Yonkers Public Library|HIST 4128 A    1|Spring|3|Benjamin Zender|T|5:45 PM - 8:00 PM|OFFCM| |Intermediate/Advanced
Directed Study To Be Approved- Two Credits|INDP 6500 Z    2|Spring|2|TBATBA| |-| | |Requires Proposal to DOS
Directed Study To Be Approved- Two Credits|INDP 6500 Z    2|Fall|2|TBATBA| |-| | |Requires Proposal to DOS
Directed Study To Be Approved- Three Credits|INDP 6500 Z    3|Fall|3|TBATBA| |-| | |Requires Proposal to DOS
Directed Study To Be Approved- Three Credits|INDP 6500 Z    3|Spring|3|TBATBA| |-| | |Requires Proposal to DOS
Directed Study To Be Approved- Four Credits|INDP 6500 Z    4|Fall|4|TBATBA| |-| | |Requires Proposal to DOS
Directed Study To Be Approved- Four Credits|INDP 6500 Z    4|Spring|4|TBATBA| |-| | |Requires Proposal to DOS
Directed Study To Be Approved- Five Credits|INDP 6500 Z    5|Spring|5|TBATBA| |-| | |Requires Proposal to DOS
Directed Study To Be Approved- Five Credits|INDP 6500 Z    5|Fall|5|TBATBA| |-| | |Requires Proposal to DOS
Beginning Italian:Viaggio in Italia|ITAL 3001 R    1|Year|10|Tristana Rorandelli|W|9:30 AM - 10:25 AM|LIBR|E2|Group conference
Beginning Italian:Viaggio in Italia|ITAL 3001 R    1|Year|10|Tristana Rorandelli|M  R|2:00 PM - 3:25 PM|LIBR|E2|Open
Beginning Italian:Viaggio in Italia|ITAL 3001 R    1|Year|10|Tristana Rorandelli|W|12:30 PM - 1:25 PM|LIBR|E2|Group conference
Intermediate Italian:  Modern  Italian Culture and Literat|ITAL 3510 R    1|Year|10|Tristana Rorandelli|M  R|11:05 AM - 12:30 PM|LIBR|E2|Intermediate
Japanese I|JAPN 3001 R    1|Year|10|Izumi Onishi|M  R|2:00 PM - 3:25 PM|WEST|104|Open
Japanese I|JAPN 3001 R    2|Year|10|Yoshimi Arai|W F|2:00 PM - 3:25 PM|DL|04|Open
Japanese II|JAPN 3510 R    1|Year|10|Izumi Onishi|M W|3:35 PM - 5:00 PM|WEST|104|Intermediate
Japanese III|JAPN 3700 R    1|Year|10|Izumi Onishi|T R|3:35 PM - 5:00 PM|WEST|104|Intermediate/Advanced
Music and Identity: “Listening”  to Race, Gender, and Sexuality|LGST 2040 L    1|Fall|5|Daniel McCarthy Howard|R|3:35 PM - 4:30 PM|PAC|2|Group conference
Music and Identity: “Listening”  to Race, Gender, and Sexuality|LGST 2040 L    1|Fall|5|Daniel McCarthy Howard|R|2:00 PM - 2:55 PM|PAC|2|Group conference
Music and Identity: “Listening”  to Race, Gender, and Sexuality|LGST 2040 L    1|Fall|5|Daniel McCarthy Howard|W F|2:00 PM - 3:25 PM|HEIM|208|Open
Perverts in Groups: Queer Social Lives|LGST 3022 R    1|Spring|5|Julie Abraham|M  R|11:05 AM - 12:30 PM|DL|LR|Open
Feminist and Queer Activisms: Looking Beyond Stonewall|LGST 3054 R    1|Spring|5|Daniel McCarthy Howard|W F|2:00 PM - 3:25 PM|ANDH|103|Open
Queer/Trans/Digital|LGST 3079 R    1|Fall|3|Yeong Ran Kim|T|11:30 AM - 1:30 PM|HEIM|210|Sophomores and above
Feminist and Queer Waves: Reading Canon in Context|LGST 3209 R    1|Fall|5|Benjamin Zender|M|11:05 AM - 12:30 PM|DL|LR|Sophomores and above
Feminist and Queer Waves: Reading Canon in Context|LGST 3209 R    1|Fall|5|Benjamin Zender|R|11:05 AM - 12:30 PM|LIBR|E1| 
Absences of the Archive: Queer Pespectives|LGST 3211 R    1|Fall|5|Daniel McCarthy Howard|T|3:35 PM - 5:30 PM|SLON|2|Sophomores and above
Brown Feeling(s):Situating the Work of José Esteban Muñoz|LGST 3260 R    1|Spring|5|Daniel McCarthy Howard|T|3:35 PM - 5:30 PM|DL|LR|Sophomores and above
Pretty, Witty, and Gay|LGST 3762 R    1|Spring|5|Julie Abraham|T|11:05 AM - 1:30 PM|DL|LR|Sophomores and above
Interrogating the Information Ecosystem|LIBR 3000 R    1|Fall|1|Emily Johnson-Young|F|11:05 AM - 12:30 PM|LIBR|E1| 
Interrogating the InformationEcosystem|LIBR 3000 R    1|Spring|1|Rachel Leff|W|2:00 PM - 3:20 PM|LIBR|E1|Open
Interrogating the InformationEcosystem|LIBR 3000 R    1|Spring|1|Emily Johnson-Young|W|-|LIBR|E1| 
Interrogating the Information Ecosystem|LIBR 3000 R    1|Fall|1|Rachel Leff|F|11:05 AM - 12:30 PM|LIBR|E1|Open; meets alternate weeks
FYS: An Introduction to German Literature &amp;  Film from 18th C-Now|LITR 1057 F    1|Year|10|Roland Dollinger|T|5:00 PM - 6:25 PM|BATES|015|Group collaborative, biweekly
FYS: An Introduction to German Literature &amp;  Film from 18th C-Now|LITR 1057 F    1|Year|10|Roland Dollinger|M  R|11:05 AM - 12:30 PM|ANDH|104|First Year Studies
FYS: Deconstructing Nature in the Western Tradition|LITR 1064 F    1|Year|10|Eric Leveau|W|3:35 PM - 5:00 PM|LIBR|E2|Group collaborative
FYS: Deconstructing Nature in the Western Tradition|LITR 1064 F    1|Year|10|Eric Leveau|T  F|11:05 AM - 12:30 PM|LIBR|E2|First Year Studies
FYS: Literatures of the Spanish Speaking World in Context|LITR 1085 F    1|Year|10|Eduardo Lago|M  R|11:05 AM - 12:30 PM|TWEED|LR|First Year Studies
High Romantic Poetry: Blake to Keats|LITR 2008 L    1|Fall|5|Neil Arditi|T|7:00 PM - 7:55 PM|SHEFF|02|Group conference, meets weekly
High Romantic Poetry: Blake to Keats|LITR 2008 L    1|Fall|5|Neil Arditi|T|11:30 AM - 12:25 PM|SC|101|Group conference, meets weekly
High Romantic Poetry: Blake to Keats|LITR 2008 L    1|Fall|5|Neil Arditi|R|1:30 PM - 3:25 PM|SC|103|Open
Shakespeare and the Semiotics of Performance|LITR 2033 L    1|Year|10|Joseph Lauinger|T  F|11:05 AM - 12:30 PM|TITS|LH|Open
Shakespeare and the Semiotics of Performance|LITR 2033 L    1|Year|10|Joseph Lauinger|T|12:35 PM - 1:30 PM|TITS|LR|Group conference
Shakespeare and the Semiotics of Performance|LITR 2033 L    1|Year|10|Joseph Lauinger|F|12:35 PM - 1:30 PM|TITS|LR|Group conference
Forms and Logic of Comedy|LITR 2041 L    1|Spring|5|Frederic Smoler|M  R|11:05 AM - 12:30 PM|TITS|LH|Open
Forms and Logic of Comedy|LITR 2041 L    1|Spring|5|Frederic Smoler|T|11:05 AM - 12:00 PM|DL|04|Group conference
Forms and Logic of Comedy|LITR 2041 L    1|Spring|5|Frederic Smoler|W|10:00 AM - 10:55 AM|DL|LR|Group conference
The Empire’s New Groove: The Global 19th-Century Novel|LITR 2046 L    1|Fall|5|Emily Foster|W|1:30 PM - 3:25 PM|PAC|3|Open
The Empire’s New Groove: The Global 19th-Century Novel|LITR 2046 L    1|Fall|5|Emily Foster|M|12:25 PM - 1:50 PM|PAC|2|Group conference
